words,emotion
عرض سون سيء سنه حبط شي شفن زعج ال فجء,anger
ءات الف سلم حرق حيء ذبح شرد بور حلي ملي خطر طهر عرق بس سا ا مش تال فعط نقل كربلاء,sadness
لان بقل بيع زال حقد فجه شاط غضب يرد يعد حقد فقل ناس شقي سعد,sadness
قولو اذا مو عجب طلع برا فين ارح بلل وطن امر عدي علي وطن,sadness
انا تتا اخي صغر كلم زين ضرب صرخ خوف يتت كنت انا الل ارب عمل عاه هدء حنن واستغربت اات,sadness
ربي خلي ناس يلي سعد كلم جمل يرب سعد,joy
رمض لهم جعل رمض عام ختم لحز وبد فرح نعذ بگ شهر ذنب حبس رزق بطل صوم,joy
امر زوج حزن قعد لحل,sadness
احس انب ضمر قوي لني فطر ان سبب كنت بمت الم عدت,sadness
صدع الف ومل ستم وبق شوي اذن ندل نست عمي ضيق تيم جرح دنا قسي,sadness
ظهر صري الل فرح اوي حد مش صري شتم مصر او مصر لزم درس بجد,anger
يري الي كلم حله يقل جو رهب خوف ده بلش احس صلح يعن,anger
علم اسلامفوب وبب سلم فوب بخف يفت غرف بدي اكل ثلا,anger
قدر وحد يكون بسط فاءل علي قدر حصل يهو حجه عكر يهو مازاجو خرب عليهو اي حجه حبط,sadness
امس انا نقهرالعالم يوم انا قهر بيس قهر حزن فرق,sadness
كلم لول رعب درج خفق ادر ليه,fear
قلت شي ربك اهو وزر الي ربك تره ولل ايدر ويش سلف,anger
هيج يوم شرب يسي,sadness
شوه فصل,anger
حنن جوا يحك شوق جوا يبك دمع سقي كبت,sadness
حيت اشف صبه زي صبه لوك شو او حمد راهيم دي ليف عالحقيقه يبق وضع صعب جدا نظر روع صرخ اعب نظر ارض,sadness
هند لسط شتم كرم طيب هند يخذ جزه ولل تصر وش جزا تيس يمس عزه الل تصر غرب عبد او,sadness
فلك فوز قطر بس حسب صغر يا حسر محد لفت اله,sadness
كمه شمءزاز عظم شخص الل يحس حور كون,anger
تكو خيب امل,sadness
بدي حرر ايش نظر روح شفي صيب فوب شفي,fear
طيب مير جد جد وصف ودي احد وصف بشف ناس شيف,joy
يوم حرمو ممه حرم حنق ناقض,anger
حاديث بشر تفه تفه يا صدق عزل,sadness
اخف قولتيل برد اغط حسس متتدفيش خيف وعد وفش,fear
تعش سعد جنب تمل طول اضي,joy
قتل زجي عءم شخص احب احب تره تره اخر شعر وحو غضب حاد,sadness
مش عوز شتم بدر علش رمض ولل صبر يرب,sadness
خرت فرش لوك لعي تلق متل يسا شكر يا ديف عدس رءع وع ليك سعد,joy
سر سعد حسن ظنك خلق حيه قسم رزق لهم علق قلب جعل حيت وغن يا الل حلم جنه,joy
شكل بخل اخت شغل يلم رعب فرج جلس معا تبع ودي صرخ فجع,fear
حرك بيخ حمد الل يلي رجع حسب,joy
دره عزب اضف ميز فرح وصل الف الف برك شهد خير,joy
نمل تحن صبغ شعر ليه عزم فرح,joy
ربن ده كرم اوي قطع وصل هنا زي مابنلاقي حد همه يعد خطء هتلاق الل طبطب علك يدك ثقه الل عزز نفس سعد,joy
سطر جمل معا لحب ردد شيق تخذ عمق بحر خوف بلذ غرب رءع دمت ودم قلم,joy
لا طبع انا مبكرهش حد يعن مكن اكن حبش جو ال ده يعن بخد كلم سخر خلص,anger
دمتم عيد فقد ودم سعد كون كمل عام بخر,joy
طير جسس يهد سما صنع ويت طير حرب الن مال ذعر,anger
ايه نزل فءه الل كانت قتل طفل خشه فقر ادر ايش دخل كلم يسر,anger
سيس قلت دعش خلص همت سور رهب هيج مصر قلت لمن يا اشل بتمنعهومش ليه ولا قصد خوف,anger
لعن بدي الل تخل طير فرح فتر حدد اوي وصل نهي نكن فقد شغف حجه ملع جمل حجه حجه,sadness
عقب عصي خوف قلب ضطراب كبه دءم نكد عيش فان عيش ضنك حجب عبد ورب,sadness
تدر اعند شكل مره صبغ فتح خفف تيج سحب لون جدا ماتحمل الق شعر وحد تقصف شعر ههبل,fear
تخف دنا كثر اكف شر كرو عبد لحل لقو سعد رزق رضك ردس علء جنه الل,fear
حبب مو شءم شوط خيف,fear
بقي كده لزم ترح يوم اتم اذا شيخ حضر مو فءل طلع شرب شاي,disgust
ودي نفس عممق كتم غصه خنق شي يعر قلق,sadness
لهو يهب عمل عده غرد صور يبق عجب بحب قسم بلل علي ليل,joy
داء سخط عجب شيء دول شعب عملاء وخن نضل وحد علم,anger
قلب كمش جرد تمن يلل ايم رسم قتل فتن دحن شاب ال نهي قرب,sadness
الل قلق ايش طيب انا ابغ كلم,anger
فرح اول مره اعل هاد حلو كتر حبيتو هيك فرح حله شير تمر عمرو كند جننو,joy
اذا سن شبب هيك سن ياس وير وير,sadness
قلب يكون مو سقر ظطرب فكر زدد سوس شغل يطر نوم,sadness
شرع فرغ ناس شغل هتف بعث رسءل جرد نسخ طفل لعب كما اضي اذا حدث يا حسر,sadness
يرم الل جرح ورد هيء انس رسم وسط حزن ضحك,joy
مهم برك درع مش عيز خرج احتفاليه درع عزء ديه اخر,joy
صير حنن ولل يحض قلبوش,sadness
عنجد انت شخص كلم حب قلل كلم طيب كمن قلل انت مو فرح رمض انت فرح علم ترك علي,joy
حسب خبر سعد وش زعج امن ايم اخر غصب يكر قطر تري سمح مو كره عدو,sadness
عبدالاله سعد تول نجح ولد فرح نجح يوم ولد فرح سبع الف شقرد,joy
سمح الل صب لهب زيت ذي فرق حبب ربي يبد رغم فين وعن تبق حبت بصر اكد,sadness
صبح عسل عسل,joy
عشء اليوم يا امي لقت ترك قلل حسر وخب امل وقد سلم ايد يا ست لكل,sadness
كفء شخص وحد تعه عرف خءن ضحك ضحك شعر فرط طقه,joy
يعن جدا افه شيء خلي اكر درس بنت الل قرف ضحك,anger
اول اسم ذمر مو ضمر بعد وضح انك ماتعرف اي شي بعد اهل ولد سنو فقل خير او اصم,anger
سمح الل قسه قلب وجع نهد,sadness
يهم وقت صبح سءي وين رحت انت جمل يمي بهج سني فدت وجه صبح ومس صبح فرح,joy
عذب قرب عذب,sadness
يعن حسب دقيق كوميد تقر دقيق رومنس طلع اقل,joy
عجل شهد نيا مش كفي بقا ايه هيفضيل لدم رخص لحد امت شكر يا مصر شعر ـالغضب,anger
لهم نسل جمع جعل فرح همم سعد حزن شفء ريض,joy
حدث وجب فعل دور قبل يكون كين خاص يرد بقء تبع ذعر كرس بعت,anger
وش فءد اذا ذعر بطش,anger
تشف فرح ناس بابوتريكه هتف جماهير اد ايه انت عظم يا ترك امر قلب حب ناس كبر رد جهل ختل دمت سطر,joy
وين اكن عشن الل تحب كون بخر وجه حسن بسم خطف قلب لمح الل تخذ س,joy
قرب انا عيش كبس,sadness
علم ريم عتب فرح يلل تمل دنا سعد بشر سجد شكر,joy
ونا نقل رجء حسه بكب فرغ كان افه حيه جيكوب,sadness
رفع حصل الي قتل حرءق غاب رتغال حكم تعل حدد,sadness
فقد تطء هتف وحد دقق بحج رءه وقت,sadness
انا عشن توقع انه يكون عرض او ضغط عصب قلتل وضع عصب رفز او زعل ده,anger
لهم بلغ تسع يسر امر حقق مني وحا هنء لهم سعد قلب وقر عين جمل شءر سجد فرح عمق,joy
بتكبريـن يلل رضا ايم جيت يـم يلد فرح عمر مو ارخ عبر,joy
خدهــ فــ حضنگ متـزعلهاش دي هيا الي ليگ غيرک لهش,joy
ربي سعد سعد دار كبل اجر اخي,joy
نقم سلط حسب يتر قفل لني مو وثق يمل رقم الل عرف رجع ينط دير,sadness
انا شعر حبط الل لهم ضحك,sadness
كنت تسل بخر حب حنن جسد روح نار عذب حزن شوق سره فرح مشتاقل قلب روح,sadness
عيد مع نبل قبل الل منا صلح عمل عام بلف خير عيد سعد الل ايم عيد,joy
قوه وقع تقم عمد راي شخص يمكن ايدش زجي او مو جوي,joy
صفه حسب شخص مال ذنب امر عبر حقر,sadness
ليه انم مو رضي يجي,sadness
ذكر يوم عيد يلد عمل الل عمل جد قسم بلل كنت ضايق نكد كنت اشه بتم فشخ بسم كرمال اما,sadness
فجا خلت شكح شكح منشكحهوش شكح ارخ شكح او اي حجه تفك عني شوه,joy
يمكن لسا اوصل رحل قنط وصل افي شيء عدي زي حيه عدي,sadness
جات فوب صراصير يوم شفت صرر سقف غرف حمل ارض يجو سقف,fear
لزم وحد شكر ربن نعم ستر الل عيش بيه دي يدع ان يرح بله جبر خطر حفظ سره يدم رضه داي قرب ليه,joy
نهد صبر دخل الف كلم ولف ولف حجه وصف,sadness
تعب حال نوم فشل عنا,sadness
عصب موبايل رمت كتب رحت سكر ازز الل جنه الل ركب سبع شرخ لزم كبح جمح غضب كده شوه,sadness
الل مستغرباه نهم ازي مابيخافوش روح ناس انا ببق رعب ولل نهم لله,anger
زعج اهل كلم وهل دقي ضرر ضرر وش قرف بيم اوف لحق,anger
طرب امر يا سلم امر رمل ركد,joy
شعر بخب امل نوع يوم يكن جيد يكف,sadness
تيم وند ثنء جمل حلق ليء ثره شوق كتر حمس,joy
عرف مش لين عمل اوي بحب ضحك ودم خفف تحب هزر ورح حله ورب عاك سنه ديه تجب جمع فرح اهل,joy
فان عسر يسر وجد عادهف نهي حزن وجد رحه تعب وجد نور ظلم وجد فرح الم وجد شيء جمل داء,joy
شحم دل يدل رتع جري حرم ولا تجب سعد فمك محد طلب ريك,anger
يرت عمل كده كنت رجع ليك,sadness
شخص ستغ رجع له شخص حسس شي زيد بحا حسس ماك شي اصل شفيد بحا تكون غضب يكن عاك طز يهم,sadness
يوم عيد يا وطن انا بسط انا فرح بان ارد بلد وان عبد الل ليك حمي ارد جلل سيد غلي قلل فخر,joy
طبع بشر رفع نبض قلب فقد ركز وتر عصب حال حله غضب ناب نحي وجه كلم قال رسل الل قتل عمه,anger
كنت روح عرب شغل فلش شغل ترك زينب بتع حمد طحو علت اخر دمج فجه حسس ان ناس قعد معا ورا رعب,fear
تدر ان ابي تفتح قبل ارء عرف شيء كثر حره حره راي شكل فوب راه حقق,fear
يخف رعب حشر قولو تهم ضرب طب قولو تهم طقي مو وحد رعب خيلو تجو قلل ضرب شيط تني صين,anger
ترك وحد دنا ترك حاج ترك ابك ليل ترك قلب قطع شوق قيك ربي رحم يحن اب بدن,sadness
صدق امن خوف يوم فزع كبر عدم حزن فات سبب غفر ذنب كفر سيء,joy
علق مع جول اسف علق قوه اكد اتر الا نوم او صله حزن تمس جول رضي وش اسي حزن,sadness
قعو لعب عادالاعب الي ندي قمو دفع بلغ جبرو وكل ان وقع يغر كلم صلح قضت ضد اعب ايض رهب فحت ريح,anger
رهق كثر يجد ضطر الي كتم انفعالاته عرض لوم اخر سحب نطو يلذ بحز بعد ناس,sadness
رفع حصل قتل الي شخص شجر عءل عطو بحي زيت قوه الا بلل ليل لطف غبر ربن رحم,sadness
تره مو عيب شري حق بنت هده مو اي احد شرل اعتبرتوه خرف عكس يبن حبت شخص لها وصل,anger
انا بتم اليوم يبق زي فجر سلم رحه طمء,joy
عرف فضء اكد عضم مو عرف فضء رسم تحر ماتلاحض شيء غرب,surprise
يتر حاج دخل بوب عشن ضبط شي محز,sadness
جيش تبل لبن يقم عمل درس جرد عرسال خبر دعو ضحك,joy
شده ياء مش عرف انم درج بءس علم,sadness
شعر وجع تخف خسر شخص ونت سسا ماتعرف انت بقي دخل نهي شوق صبح خير شقت خطر فوض شعر,sadness
الن بسم سءي رقص نشه عضء تور صمت ممك مطر حبر شاء كنت ارض او جءت كسماء,joy
انا جبت عشر معا هلعب احس نخب ميت مره يا صبر عالمنتخب ال,anger
عرفش ليه انا كنت ببك يوم فرق وكان حجه كبر ضعت يوم مني يمكن عشن انا كنت شيف حجه غلي وبد اشف صح بعد,sadness
شدخل لزق فطر او ربه ويم مو سلم عمل الل كسر يدن سلط اقي خلق,sadness
ست نور بيه هنم سنه ونت طيب يا حنن يا ام قلب طيب ولف الف برك وعد يلد يبق سعد عيد يلد جيه,joy
اشف شخص عاش حيه اسء حيت اكر بجد اعش فضل حق اسب ذمر حيت,sadness
اخي صرخ امي يسب يزف امي ميخالف ضغط طيب اها انا خلص يما امي عرف ربج يا بنت كلب انا ورج ولل علمج,sadness
يا الل جدد روح فءل امل جعل ضعفاء ظرف حيه زرع طقه دءم حبب ايم كانت يرب علم,joy
جمل شرق شمس شرق نفس طعه ثقه بلل هزم حلم صحب وثق بلل صبح شرق وثق صبح خير,joy
انا هكن نيم ارح ضهر رغم انه عاد خره,anger
مو رضي فتح سءل,sadness
منه تحمس حفل رويشد كثر عبد اسف يوم مو نسب ليا اخذ عبد بدل,sadness
تتي سعد نقء نفس رحه بال طمن قلب فكن داء نقي نفس تعاملاتك اخر جمع طيب,joy
صعب همه ارح كان ظلم عشن ادر شيء جد رعب لوف كشف حزن,fear
شخص الف شخص داي يعض قلب خلق فرح لـ روح عاي خاف نمح امن يحض عمو حبه حيه فيه,joy
نصف سعد ملك روح جمل تري شيء جمل ملك نفس رضي ترض قلل قنع اسس سعد,joy
فود ركس فسد جمل حديق زعج مواطير ورح قلي زحم وقف قسم بلل قرف,anger
عيد فطر داي خفف عيد اضح قلق,fear
افي احس شعر الـ محد دخل تنم تقم برح نظر احد احد نظر عيش عشن ولل جبر هالمرحله,joy
الي قهر اشي وحد واح فطر بكن رقع هما كلش,sadness
جمل شء اني خرج جرب حست ان سيس نظم دخل جرب حمد لله اه ولل كبس جرب,anger
غضب سخط كار غيض شده فعل هيج نقم جحد هدم,sadness
انا مش زعل الل ضاع اد خيف الل مكن لسا يضع,fear
لزم وضح انه نقم حنق جمع,anger
اذا انت قرر بعد بدي تصب نوب هلع مدت يوم سلم بدم برد برك رجع حجم طبع كره حقد يزه,sadness
• طقه برك علم تعط ذار سبب صور مشاريع طلب ليء لفظ جلل لقا قمم احد درس,sadness
احب ءسس قرب تسب عين يقم اضف اخر علم وخر عبر غدر قرب خطء غضب حترم رغب بعض,anger
شعر انو بدك شرك حزن احد ونك بدك تكون لحل وحب انو لكل يشف بسط عرف ايش جتك هذا عند شعر,sadness
رهب قدم جزر بحق طفل خان شيخ رشد يجر ايد وكو حرم يتق الل,sadness
ايه رفز الل ال ديو ده عملهال انا بقل فتر برد سيس بجد عصب فشخ خرا ولل,anger
سمع وسق هدء عله خفف وتر عصب حزن ابك نظر صور ريم عتب برء وحز ظلم فته,sadness
قال امم همم هنه كلل همم سعد بعد حدد لهم كلم وجد قمس امه,joy
خلد دا كلم فعل مشي الب صغر الل تمو ناس دي,anger
ونت حرر بلف خير اما ندس نبح عيد نكد حسر,sadness
يجي شمءزاز عظم ناس كذب,disgust
يلا بقي فرح عمل كتر كدا,joy
عيد يلد سعد دكتور,joy
قهر صرراح وين تعه تخف كءن لطف كرر نوع قطع خوف ناس متع جد قهر,sadness
ملع الل جبك وبل بيك قتل نفق حام فسد تفل عقب الل دنا يضع حق ظلم اخر كلم لضض فعيدميلاده,anger
شعر بخب امل شعر مصر,sadness
يوم فرح سرر ادع هدي خير نهي اخو سلم,joy
وش دعا حمدالل شكر يهم ناس فضل يشش كلم بهالاسلوب,anger
صبح رضع صغر يصب ذعر يعط شخص عرف,sadness
وجد اخو سلم بلد عرب نذر شءم بلد كوت قفو نظم غزه ملك كنو حدث حرم قطر,anger
مش بحب عزل صدقو خسر فيك,sadness
شيء غرب فالانوار ضءه ابع تطف ابد نزل كعد جمع امر يحب زعج اخر سءل سبب,surprise
وحد رمت كوبر شاه متح عشن حلم ضاع ايه تمت كفر املع ابو علم ابو حلم ابو الل خوف,sadness
مايحدث اهو الا نفخ ريش خوف قطع علق مع قطر,anger
ياس مش خين خلص ياس لحل وحد حسر علك بلد,sadness
ولل احن حرن هجم الل نبي,disgust
سعد,joy
عقد رمز عمل قلبو هيبق احل رعب كتر,joy
وبق الل قبل يسل الك حبس دمع عفي ولل عظم وجع,sadness
شكل ادب يشف كبس نفع معا,anger
شعر هلع عرض شعر ريض حال وجه احد وقف يكون هلع فهو برر فانه يمض سرع,sadness
سره فرح حبب كتر كتر كتر فخو فيك كتر نيل سور فيك,joy
امل انه تكون كثر عطف الا انه كانت كثر قسو,sadness
صمت ضرب رجء دم عرق كغل ماء شوق تعب امل رجء سدل تءر سرح حلم طفء ضوء كنز ما زعج,sadness
عده اشف اي رعب اشف حزن زي دنا يبك ولل يبك,sadness
لفز اسراءيلي طلع ذعر رعب سبب تفق رسم حدد بين سعد عرف انك سار لصح وثق رءس وجش ومخابراتك,anger
كمل بسم سعد تكم رضا وقع سعد صبح,joy
اني سحب بدي وسم تني برح لهل مو قدر طلع كبه نهي شفت مش عدل ابد,sadness
اكر شعر عجز ومم يكون كبس عصب شيء وجع مو عشن وجع لا عشن يحد حرك اقدر اتح فيه,sadness
مش داي اتر بهج اوي بجد,joy
اكر اذا كذب عبل اني صدق سكو اهو الا قرفف نكك اي ولل,anger
جهز وجه سيس جار يرد فيت شعل فتن صلح فءه سرط عاش مص لدم عرب نمو كبر حلم زعم كبس,anger
يخف برا طلع برا وبر,fear
حله يكس فرح واستهبال شجن وحز ودي حجه سيء غيه ولل,joy
طيب انا مش عرف انم دلق سبب سيل برق رعد مش عرف ادع مين ظبط ال دي نرفز,sadness
يب شكل نزل يلر الم ضعف لين فهم سلف,sadness
اي عرض سعد تري يحل غضب خلن صلح,anger
امر تبك يتم شلل ينخ لهم اشف تلم نوم نعم يبك وجع ملذ غرق,sadness
حد عمل غلط كبيرهوالطرف تني يبق مش عرف يمن عمل تني يقم الل غلط زعل عيز نحل خلو ندم انن رجع رغم غلط,sadness
هيطلع فوب كلم صين كاس حاج دي بين قرر قطع علق بلل وضع ده حور حدث هفضل انا روح,sadness
يبر سعد غمر,joy
انا مابخافش حجه وحد بخف اكن جبن بخف فكر خوف تمل بخف ضعف تهد بخف هرب مش عوز احس خوف تني,fear
كذب انت ولي قعد يصر صفه حسب قدم ملك عدو مرا مصر خلف دعم اخو,anger
يصر سنه قصه شعر دري رجع طول شتق حزن حزن,sadness
الل سمح فخر قنبل عطن وتب قتل طفل ومر دمر ءات نزل دمء سقط الا قصص,sadness
تغر جدد حرم وضع وحد وضع دين بحت سمع خمس مره ممل شوه بهر طبع,anger
اكر شخص الل طبع جدع هرج مكن جرح الل قدم يا خوي عرف كلم اسك,anger
تهر يا عبدالرحمن اول نشر صور جرد مرت,anger
نحن نفس ضغن قال كنا نسب قطر يجب وجه لوم ظهر بحب قطر,anger
يقض سنن جمع عنا شتم لكل رهب ناس صغر يعن انت كنتش عرف ان حلم ده صعب يعن كله اكد صعب,anger
تعب جبن قد ضجر وقل خلص نقط لزم عمل شكل جيد اسف كانت حلم نوم كني بطل احد روي دوستويفسكي,sadness
طول ماح مابنرحمش ماننتظرش رحم ربن رحم رحم الل شعر نفذ صبر,sadness
اي ضعف ويم يبي جيش ضعف شكل وتر,sadness
حاج كتر مكن بسط بهج وتس دي فيش حجه هتقدر تغط هيشيل كنت قلب,joy
ربي رزق سعد فتح بوب رزق انا مو شرك الا لني حتج دعل كلل صله ابي ثلث الف عيد مع رغد حمد,joy
لذ دمع هطل حبا لله خشه طمع عفه,fear
يا فرح دعش عرب وش تقل ناس حيل بين نقم اله وصل يقل رقب شعب خلج رفض قطع قطر,sadness
رجل انت جدل خلص جبل حقءق خزق ولس حيء روغ دفع كدب تزف الل نقم مثل,anger
حفل اجن جمع نور ضعف ايم بلل وقل خوف ضيع منه,joy
غرب اخت ارق شعر شعر انا فكر جلب خوف ليش خفق وتوترويطير نوم يوم ثني قلق حلت,sadness
كنت حله بنت ضبط ومي وظف تخذ اخر لهاتعاقب تهز الل نقم هذل علم يحط اعز بنء,anger
حمدلل فرض فرح جعل عبد ءجر نثب عيد برك تبع عيد برك,joy
غضب غري يا ليب قلب نصب خلج غضب وغر خلج علم تكون نصب,anger
كسم بيت عءل صحب درس ربط كسم اي حجه عمل قيد بصف عمه,anger
عصر ندم جلس وقت كله قطر الل صلح,sadness
حته عمر عمر صعب شوه وده الل خيف مكن دي تبق اخر ثني حيت ونت جبن,anger
عزز شوب ريح اهم ظهر,disgust
طيب انا حال بقتش غضب طلق بقت برد لقص حدد ردد برد شخص خرا,anger
فين خوف قلق ضغط وتر شعر سلب حزن,fear
اتم لكل وفق يرب رمض حمدلل برك عرس فرح خطب لكه زوج سحر فطر,joy
فرح انس موت انه ختم تكن صور,joy
عفا اكن طول خلق ربك اذا اعند خلق اقل خاف الل,anger
مدي حزن صدر يمن بدي رسم يا حزن يوم صرت تمن ويش تكون عشن حرف شبه حرف اسم,sadness
بدع نجم سرر الل سعد ضعف شور بيت سنب سرر روق سرر روق,joy
هيج يوم ندم سوء الظ عدم فهم ده اتم يوم فكر ضيق غضب ده دمش شخص كانت تهل كانت هتفهم وحد,sadness
• سعد فرق حني تشبث بسم اخل رحه فرح يا اعد سوط حسس وتس نحي,joy
ترك رعب دول ءمر نقل خوف سعد اخر اسف رغم بدي حلف قوي قره عدت هدم بيد قءم رفض,anger
هجم سيق دبب علي عيل امن عقب اسء ادب علم ان نهي كفل نزل طلع لمذ خوف ضرب حدد ردع كلب,anger
يصر فقر نغل بسم عنو مال صنع سعد يفز جءز ملي دولار سلم,joy
وصل لقم زعل واك عيز فجر عيط مبعرفش اعط ودي حجه وجع جدا يعن,sadness
شفت يا سره حلو اوي فعل يدي فءل بهج كده رفو بجد ال عمل ده,joy
طفل تهن كرم سلب ردت شفق كسر شمخ خطر فقد ثقت تعس همل دول بعو علم احد عطي وش,sadness
اقل قل هيط ترا جمهور تحد كثر سكن دول جلد لا رحم قسه,anger
خلي احك شوه انا عدت وقف كتر تهد تنح اي بني ادم كتم دمع لزم نزل عشن نضف تخل رجع زي كنت دمع الل غسل,sadness
كتب شكل كثر مره يمل وبالبرنامج يتر بعد يجي يمل فضل رسل شكل,anger
احب ثقه شخص يجي ويح وجع فرح احب فضل كل الل حول هو ذات ولل خذل,joy
صرح تحدث غمد عبر بث انستقرام عبدالعزيز عرف رزق وقن بدي جرد صلح رقبو فاج عيد,joy
سعد وظف في وصل سقف رضا وظف شبع حقق لحج رغب بيء عمل صحه تقم ثقه نمء عمل,joy
احس يرح بنج بكل خرا,anger
سير سعد برت طرب شرب بنت,joy
حجه بقت تفه سذج لهش عني زي اتك فهش روح كدا او يمكن الي فقد شغف حجه حجه بقت بهت ضلم,sadness
ضرب سلع نقي هذي اهي انتقاءيه انتقاميه ظلم سرق جيب وطن غلب عيا بيا,sadness
صدق تكل عيش طقي ورب يفز حكم مو حكم دخل لحظ اخر لحظ عده,sadness
يرب ستر قمت تو كيف طفي احد بيت انا,anger
فرق الم عرف جرع رره فقد رحم الل دتك دتي وسك فسح جنت وتي سلم,sadness
قتل جيش نري الا ظهر فيت تحمس قتل نسء طفل جحو نصر وهم ناج مدن علم لقن عبر خنزير جبناء,anger
ليه يبق سلسل رعب رمض يعن ايه فكر,disgust
كثر وحد كذب دلل قلت بدي اني عرف حين علم الي قلت,sadness
صرح عدل خفف زحم ضبط شرع دور جسر شي داي ناس سلب تحن حلطم جهد وضح عسا قوه,anger
حيه ابض او اسد الل يقل وان كذب يا سعد يا عسه يا حب يا كره يا يا يسر ابد حل وسط,sadness
هلب يا حبب عسك دوم بهج,joy
احد يقظ خفق قلب شهد يدي رجف سبق,fear
امر يصل قيد راه قدم صرح اخف سقه جدا صعب احس عسا اسق سير صدم حقت لهي زين عشن اسق حقق,fear
تذمر صرع نعم ويش قله شكر حنظل لوه شطي نيل زدت ررت قدم رره عجب,sadness
غير حسد حقد ترك اوك فهم انو طبل سيد او منك شرد هاي انس الل مابيعرف عني كرم عمرو ارح عرف شو يعن حره,anger
قذف سقط الن دخل شفي جمهور طفء ولد كهرب خرج رضي قسم الء حوش حله هلع شدد,fear
خضرو ريح خلق طعم لون هالشر تتح رضي بذر تمر اذا دخل علم عدل ورث تصر رعب,anger
ولل اعند عدد صنع حس فكه وحب حيه عشن حضرتج ماتقول نفس,sadness
دلل فكر بلي قعد قولو ادر هذل ناس صجن من كثر اني صدم شيقول امم شفع,sadness
ايه ثقه دي ندم طب جيز بقا مش اكد,disgust
مو انا عشن تعش شعر فقد قعد,anger
شاب صفع عمل يده شلل كسروالغرغرينه قلل ادب حيو الي اهل اربو ان شاء الل ايمر هاليوم الا ورب نقم اشدانتقام,sadness
سكت مش عنه اني ضعف مكن اكن رحم غضب الل مش حتستحمله,sadness
رلم اير لول مره حيت عطف شعب اير لني ارا ساك يضح اجل ان يثب نظم ان رهب وصل ضحا,sadness
عدي يعن غضب سبب غضب بلل عشن نرق وش فيد ناس روق لزم نرق فءه خصم عشن ضعف روق,anger
ليل افز رعب وبج لحل,sadness
يعن ترد قطر يثر حكم مو نتو سعد ضد ثور ولل فهم,anger
انا ليه اما اجي فتح كتب احس اني خدت نوم,sadness
شحن ايم وصل ريض صلتو يوم عنا ندب ايرد عمل سيء سلم ان شاءالل,anger
يا جمع وحي اغل حجه كفي كبه صور يعن مش نقص,sadness
عجل يا اهل مصر مصر اليوم يوم مهم اليوم يوم قلق اليوم يوم فزع اليوم يوم لحه اليوم تبد محن ثني عمه,fear
حدث غرد وطن حنق حدث فعل عرب قضه فلسطينيه شعب حصر,anger
غرابيب سود ربط دعش سلم رهب حلق حفظ حال صاق فكر جهد نكح رفض سلم نتو يتو الل است راءيل,anger
اهل صدق شخص لطف مر بحا تبع عام نتو بخر عام فرح غمر وابتسامت جمل عكر حزن,joy
خير عيد سعد عءل شاء الل سعد فرج,joy
ايم خنق دمع قهر نزل لمشاهدتي سرر عرض بيع مول نست طعم ان يكون سرر خاص انم كرم وام الم,sadness
مكن قدرش ينل اني فرح انك سلت او فكر انك تعد علا انا فعل ببق فرح بسط فضل كركل وقف جمل ده مش بنس,joy
عشن خفض سكر رعب دري ليه احس ان هالبرنامج طغي مثل كثر انه حقق,fear
ببق تفهم انه مكن حد وحش ونا موحشهوش عدي لكن قعد عاه خلف مش هاقدر قبل اني موحشهوش بقل لرب وصل عرف,sadness
اخف ءذه حيه يتذ قلب,fear
بحبش حد سفز,anger
غرب ضءع حيه رغم اني قيد عرف عقد غرب غرب,sadness
طول عرض قطر تهز ارض هتف طيب,joy
الل وكل تمم شمت عدء حقد وسع فتن جعل ناس حقد يسع فتن شعب تمم خين نذل,sadness
لست اكر فرق وحد انه كنت كتب شيء مب زين لسه اكر رغم اني بطل عشن غضب,sadness
ضيق صدر ايم ولل عظم غصه حلق دري وش اسي,sadness
حضر طيب شكر كلم حلو ده يا بهج,joy
صدق احا بوق عين يجك شعر ودك خمخم ناس طيب الل الل تشف جنب رءع تزد سعد,joy
هدء واضع قرب جمهور زعم لكي فيس بوك حرس فرق اول لكر قدم بند هلل عبدالل عيف سهل بطل,joy
لهم جعل جمع خير خال ياس احز نشر قدر فرح فءل يرب,joy
سله تعش فعل وحد صعب ترا زعج كثر بزر ثرثر عزل محد يعي الل يقل وحد قتل,sadness
قبل حرم هالاسلوب رعي ابد اشف شيء شلن صرت حكم وضع زري خيف رجف خبط ادر وش تسي,anger
الل مسح قلب رجع صوب بيد دخل نار رجع تمت جنه بغل قتل رهب عذب,sadness
جنن اخت كبر اقل ابغ طبخ ابغ طبخ ادي وصف حقت اسس اليوم اسي فطر وخت الي رحت طبخ قلت انا اسي,sadness
يوم يلد يلد ايم حله بحا يوج رضا عمر سنن عمر صحب عمر اغث فرح يمل سمي,joy
لهم مسح دمع حزن جعل بسم تزن وجه,sadness
نجم تلق جمل اتم وفق,joy
سبب مرس نظم افو يخي قسم بلل ان خوف جمع نقل حبه صدق منه خلص,anger
يخف ان يضع يمن خاف ادل ضعف عبد وعن الل رحم يبق رزق عطي يمن,fear
مدتيرم خفف لطف,joy
انا جلي حله رعب وخف نظر ثني عمه دلق اهو ونا اصل دخل ثني عمه ونل رعب هدو شوه جدع مش كده,anger
اغل ارخ عقلب مرح,joy
شوف الي عرف ليش نفس سيء عنا وظف خطط وشر,sadness
